SKU,Qty,Amount,% of Sales,Avg Price
"TC05 (Cube Timer  - White 5, 10, 15, 20, 30 Minutes.)",740.0,3766.0,0.0%,5.09
"TL09-BLACK (TL09- Black 3 in 1 COB Flashlight with Magnet, Glass Breaker and Seat...",400.0,1351.5,0.0%,3.38
"TS01-BLACK (TS01 - The Digit - Black, Capacitive Touch Stylus)",500.0,390.0,0.0%,0.78
"TS20-WHITE (TS20 -  White,  Touch Stylus)",1450.0,22922.3,0.1%,15.81
TT01-BLACK-BLACK (TT01 - Twiddle Twitch - Black with Black Buttons.),700.0,1765.0,0.0%,2.52
TT01-BLACK-ORANGE (TT01 - Twiddle Twitch - Black with Orange Buttons.),550.0,1425.6,0.0%,2.59
TT01-WHITE-BLACK (TT01 - Twiddle Twitch - White with Black Buttons.),2000.0,5057.5,0.0%,2.53
TT01-WHITE-BLUE (TT01 - Twiddle Twitch - White with Blue Buttons.),800.0,2047.6,0.0%,2.56
TT01-WHITE-RED (TT01 - Twiddle Twitch - White with Red Buttons.),100.0,264.0,0.0%,2.64
TT14-BLACK (TT14-Silicone Popper Game - Black),3395.0,8107.55,0.0%,2.39
TT14-RED (TT14-Silicone Popper Game - Red),900.0,2104.7,0.0%,2.34
TT15 (TT15 - Mini silicone Popper),7325.0,8852.6,0.0%,1.21
TT15-CUSTOM (TT15 - Mini silicone Popper - Custom Color.),35500.0,44420.0,0.2%,1.25
TT17 (TT17 Hamburger Popper.),6096.0,4094.75,0.0%,0.67
TT18 (TT18 Spin Magic Ball),170.0,642.0,0.0%,3.78
UA03-BLACK (UA03 - Black Desktop Vacuum with rechargable lithium ion battery.),250.0,2825.0,0.0%,11.3
UA03-WHITE (UA03 - White Desktop Vacuum with rechargable lithium ion battery.),101.0,1272.6,0.0%,12.6
UA06 (UA06 - Aluminum USB C to USB A adapter.),500.0,575.0,0.0%,1.15
UD03-U2-4G (UD03 - Gem -  4GB  USB 2.0 Drive),100.0,211.2,0.0%,2.11
UD03-U2-8G (UD03 - Gem -  8GB  USB 2.0 Drive),400.0,922.2,0.0%,2.31
UD09-U2-4G (UD09 - Glide -  4GB  USB 2.0 Drive),100.0,211.0,0.0%,2.11
UD10-U2-32G (UD10 - Swift -  32GB  USB 2.0 Drive),300.0,1224.0,0.0%,4.08
UD10-U2-4G (UD10 - Swift -  4GB  USB 2.0 Drive),100.0,254.0,0.0%,2.54
UD106-U2-8G (UD106 - Edge Type C-  8GB  USB 2.0 Drive),100.0,550.0,0.0%,5.5
UD107-U2-16G (UD107 Glow Type C-  16GB  USB 2.0 Drive),300.0,2187.0,0.0%,7.29
UD108-U2-64G (UD108 - Pixie Type C-  64GB  USB 2.0 Drive),100.0,939.0,0.0%,9.39
UD108-U2-8G (UD108 - Pixie Type C-  8GB  USB 2.0 Drive),725.0,5016.5,0.0%,6.92
UD109-U2-8G (UD109 - Carabiner -  8GB  USB 2.0 Drive),1950.0,6893.0,0.0%,3.53
UD15-U2-16G (UD15 - Grace-  16GB  USB 2.0 Drive),300.0,730.0,0.0%,2.43
UD15-U2-2G (UD15 - Grace-  2GB  USB 2.0 Drive),1000.0,2090.0,0.0%,2.09
UD15-U2-32G (UD15 - Grace-  32GB  USB 2.0 Drive),50.0,195.0,0.0%,3.9
UD15-U2-4G (UD15 - Grace-  4GB  USB 2.0 Drive),3050.0,6346.9,0.0%,2.08
UD15-U2-8G (UD15 - Grace-  8GB  USB 2.0 Drive),4650.0,10276.5,0.0%,2.21
UD15-U3-16G (UD15 - Grace -  16GB  USB 3.0 Drive),250.0,1085.0,0.0%,4.34
UD15-U3-8G (UD15 - Grace -  8GB  USB 3.0 Drive),150.0,623.7,0.0%,4.16
UD18-U2-4G (UD18 - Opal -  4GB  USB 2.0 Drive),150.0,316.5,0.0%,2.11
UD18-U2-8G (UD18 - Opal -  8GB  USB 2.0 Drive),300.0,1005.2,0.0%,3.35
UD20-U2-128M (UD20 - Twist -  128MB  USB 2.0 Drive),17402.0,23015.0,0.1%,1.32
UD20-U2-16G (UD20 - Twist -  16G  USB 2.0 Drive),13318.0,30272.93,0.1%,2.27
UD20-U2-1G (UD20 - Twist -  1G  USB 2.0 Drive),5500.0,9006.9,0.0%,1.64
UD20-U2-256M (UD20 - Twist -  256MB  USB 2.0 Drive),380.0,775.4,0.0%,2.04
UD20-U2-2G (UD20 - Twist -  2G  USB 2.0 Drive),11126.0,19548.75,0.1%,1.76
UD20-U2-32G (UD20 - Twist -  32G  USB 2.0 Drive),1400.0,5193.8,0.0%,3.71
UD20-U2-4G (UD20 - Twist -  4G  USB 2.0 Drive),35144.0,61657.2,0.3%,1.75
UD20-U2-512M (UD20 - Twist -  512MB  USB 2.0 Drive),4600.0,7288.0,0.0%,1.58
UD20-U2-8G (UD20 - Twist -  8G  USB 2.0 Drive),17701.0,45161.4,0.2%,2.55
UD20-U3-16G (UD20 - Twist -  16G  USB 3.0 Drive),1210.0,5116.18,0.0%,4.23
UD20-U3-32G (UD20 - Twist -  32G  USB 3.0 Drive),2000.0,8547.4,0.0%,4.27
UD20-U3-64G (UD20 - Twist -  64G  USB 3.0 Drive),300.0,1698.0,0.0%,5.66
UD20-U3-8G (UD20 - Twist -  8G  USB 3.0 Drive),1400.0,5303.0,0.0%,3.79
UD201-U2-4G (UD201 - Discus -  4GB  USB 2.0 Drive),100.0,331.0,0.0%,3.31
UD306-U2-128MB (UD306 - KeyNote- 128MBUSB 2.0 Drive),1000.0,2630.0,0.0%,2.63
UD310-U2-16G (UD310 - Millenium - 16GB  USB 2.0 Drive),500.0,2160.0,0.0%,4.32
UD310-U2-32G (UD310 - Millenium - 32GB  USB 2.0 Drive),300.0,1555.0,0.0%,5.18
UD310-U2-8G (UD310 - Millenium - 8GB  USB 2.0 Drive),100.0,368.0,0.0%,3.68
UD43-U2-4G (UD43 - Blade - 4GB  USB 2.0 Drive),200.0,422.0,0.0%,2.11
UD43-U2-8G (UD43 - Blade - 8GB  USB 2.0 Drive),200.0,458.0,0.0%,2.29
UD46-U2-16G (UD46 - Atomic - 16GB  USB 2.0 Drive),86.0,316.48,0.0%,3.68
UD46-U2-4G (UD46 - Atomic - 4GB  USB 2.0 Drive),100.0,195.0,0.0%,1.95
UD52-U2-8G (UD52 - Forrester - 8GB  USB 2.0 Drive),100.0,404.0,0.0%,4.04
UD53-U2-4G (UD53 - Forrester - 4GB  USB 2.0 Drive),100.0,333.0,0.0%,3.33
UD53-U2-8G (UD53 - Forrester - 8GB  USB 2.0 Drive),1550.0,6461.5,0.0%,4.17
UD62-U2-4G (UD62 - Buckle - 4GB  USB 2.0 Drive),250.0,820.0,0.0%,3.28
UD85-U2-1G (UD85 - Key - 1GB  USB 2.0 Drive),250.0,752.5,0.0%,3.01
UD85-U2-4G (UD85 - Key - 4GB  USB 2.0 Drive),1810.0,5488.0,0.0%,3.03
UD95-U2-16G (UD95 - Slim -  16GB  USB 2.0 Drive),100.0,386.0,0.0%,3.86
