,"Jan 1, '24 - Feb 18, 25"
,"Qty","Amount","% of Sales","Avg Price"
"ACAT01- CUSTOM (Custom Molded Silcone case for AT01)",3,0.00,0.0%,0.00
"ACAT01-WHITE (White Silcone case for AT01)",454,348.00,0.0%,0.77
"AT-AC03-SL (Basic Silver Lanyard for USB Drives)",200,70.00,0.0%,0.35
"AT-BAT-AAA (Generic AAA Batteries)",6690,1467.70,0.0%,0.22
"AT-PK-HW01 (Box, Cable and manual for HW01. bundle with HW02 to create HW01)",389,0.00,0.0%,0.00
"AT-PK-SC21 (White Tuck box for SC21)",10852,1171.50,0.0%,0.11
"AT-UD20-U2-16G-BLACK (UD20 - Twist - Black 16G  USB 2.0 Drive)",650,1243.50,0.0%,1.91
"AT-UD20-U2-16G-BLUE (UD20 - Twist - Blue 295 16G  USB 2.0 Drive)",700,1800.00,0.0%,2.57
"AT-UD20-U2-4G-BLACK (UD20 - Twist - Black 4G  USB 2.0 Drive)",4292,7920.92,0.0%,1.85
"AT-UD20-U2-4G-BLUE (UD20 - Twist - Blue 295 4G  USB 2.0 Drive)",400,916.00,0.0%,2.29
"AT-UD20-U2-4G-RED (UD20 - Twist - Red 4G  USB 2.0 Drive)",122,185.00,0.0%,1.52
"AT-UD20-U2-4G-Reflex Blue (UD20 - Twist - Reflex Blue 4G  USB 2.0 Drive)",100,225.00,0.0%,2.25
"AT-UD20-U2-8G-BLACK (UD20 - Twist - Black 8G  USB 2.0 Drive)",1600,3646.00,0.0%,2.28
"AT-UD20-U2-8G-BLUE (UD20 - Twist - Blue 295 8G  USB 2.0 Drive)",100,231.00,0.0%,2.31
"AT-UD20GBE-U2-4G-REFLEXLUE (UD20 -Consignment Inventory Twist -Reflex Blue  4G  U...",500,970.00,0.0%,1.94
"BA01-WHITE (BA01 - Boost USB Charger - White - USB based charging booster for mob...",180,549.00,0.0%,3.05
